pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
3142762,udp,192.168.100.150,6551,192.168.100.3,80,251984,1.900363,100,0,4,2.687519,100,0,0.494549,4.031619,1,DDoS,UDP
2432264,tcp,192.168.100.150,5532,192.168.100.3,80,256724,0.078003,38,3.85693,3,3.934927,100,0,0.256493,4.012924,1,DDoS,TCP
1976315,tcp,192.168.100.147,27165,192.168.100.3,80,62921,0.268666,100,2.9741,3,3.341429,100,0,0.29488,3.609205,1,DDoS,TCP
3257991,udp,192.168.100.147,22461,192.168.100.3,80,105063,0.822418,100,2.979995,4,3.983222,100,0,1.002999,4.994452,1,DDoS,UDP
3406860,udp,192.168.100.150,31712,192.168.100.3,80,253932,1.928021,100,0,4,2.726619,100,0,0.490708,4.097849,1,DDoS,UDP
1762365,tcp,192.168.100.150,23917,192.168.100.3,80,111124,0,75,0.173242,1,0.173242,100,0,5.772272,0.173242,1,DDoS,TCP
2748123,udp,192.168.100.148,40439,192.168.100.3,80,119506,0.859362,100,2.756653,4,3.907695,100,0,0.621363,4.820975,1,DDoS,UDP
3456380,udp,192.168.100.148,41921,192.168.100.3,80,41299,0.649773,29,2.74475,4,3.663178,100,0,0.729789,4.148325,1,DDoS,UDP
2561598,tcp,192.168.100.148,15297,192.168.100.3,80,123911,0.101184,10,0,1,0.050592,100,0,0.115573,0.252959,1,DDoS,TCP
1798048,tcp,192.168.100.147,45397,192.168.100.3,80,146807,2.243758,85,0,3,2.243758,100,0,0.147997,4.487517,1,DDoS,TCP
1672009,tcp,192.168.100.148,9550,192.168.100.3,80,20768,0.012163,100,0,1,0.012163,100,0,0.204464,0.024326,1,DDoS,TCP
2710993,udp,192.168.100.149,6336,192.168.100.3,80,82376,2.153709,9,0,4,3.00331,100,0,0.382362,4.944037,1,DDoS,UDP
2646686,udp,192.168.100.148,2789,192.168.100.3,80,18069,0.3176,100,3.483661,4,3.932343,100,0,0.597887,4.174542,1,DDoS,UDP
