pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
3576885,arp,192.168.100.1,-1,192.168.100.3,-1,9,2.00E-06,2,4.00E-06,2,6.00E-06,85,0.000836,0.000836,7.00E-06,0,Normal,Normal
3576887,udp,192.168.100.149,51838,27.124.125.250,123,11,0,26,0.048565,2,0.048565,1,0,0,0.048565,0,Normal,Normal
3576889,udp,192.168.100.27,58999,192.168.100.1,53,14,0.08015,2,0.018356,2,0.098505,4,0.001755,0.001755,0.178655,0,Normal,Normal
3576890,arp,192.168.100.1,-1,192.168.100.27,-1,15,0,2,0.000367,2,0.000367,1,0,0,0.000367,0,Normal,Normal
3576897,udp,192.168.100.148,36138,192.168.217.2,53,63,0,63,0,4,0,4,0,0.399805,0,0,Normal,Normal
3576899,udp,192.168.100.149,34295,8.8.8.8,53,1110,0,26,0.007698,2,0.007698,2,0,0,0.007698,0,Normal,Normal
3576904,udp,192.168.100.150,8612,192.168.100.255,8612,3082,0,14,0.01005,4,0.01005,3,0,99.502487,0.01005,0,Normal,Normal
3576906,udp,fe80::250:56ff:febe:254,8612,ff02::1,8612,3084,0,2,0.010024,4,0.010024,2,0,99.760574,0.010024,0,Normal,Normal
3576909,udp,192.168.100.150,56155,255.255.255.255,3289,4081,0,14,0,4,0,2,0,0,0,0,Normal,Normal
3576910,udp,192.168.100.150,56854,255.255.255.255,1124,4094,0,14,0,4,0,2,0,0,0,0,Normal,Normal
3576913,udp,192.168.100.148,33862,192.168.217.2,53,4134,0,12,0,4,0,8,0,0.399813,0,0,Normal,Normal
3576917,udp,192.168.100.148,52865,8.8.8.8,53,4241,0,12,0.00743,2,0.00743,10,0,0,0.00743,0,Normal,Normal
3576923,tcp,192.168.100.5,0,192.168.100.3,0,7,0.235357,7,0.598172,2,4.898582,7,0,10.932437,4.999866,0,Normal,Normal
3576925,tcp,192.168.100.3,80,192.168.100.55,8080,1,0.228494,20,0.768694,2,4.947914,2,17.633553,17.634146,4.999863,0,Normal,Normal
3576927,udp,192.168.100.3,15726,184.85.248.65,53,6740,0,20,0.215891,2,0.215891,1,0,0,0.215891,0,Normal,Normal
3576935,udp,192.168.100.3,49393,192.12.94.30,53,6762,0,20,0.16424,2,0.16424,1,0,0,0.16424,0,Normal,Normal
3576936,tcp,192.168.100.3,56312,52.35.35.13,443,6765,0.331883,20,0.15452,6,0.292655,1,0.210558,0.275345,1.105515,0,Normal,Normal
3576943,udp,fe80::250:56ff:febe:26db,5353,ff02::fb,5353,9298,0,1,0,4,0,4,0,0,0,0,Normal,Normal
3576947,udp,192.168.100.4,5353,224.0.0.251,5353,11519,0,3,0,4,0,24,0,0,0,0,Normal,Normal
3576951,ipv6-icmp,fe80::250:56ff:febe:89ee,133,ff02::2,0,12539,0,1,0,8,0,1,0,0,0,0,Normal,Normal
3576952,udp,192.168.100.147,38810,129.250.35.250,123,12832,0,12,0.00697,2,0.00697,1,0,0,0.00697,0,Normal,Normal
3576955,arp,192.168.100.4,-1,192.168.100.1,-1,13109,0,3,0.000251,2,0.000251,7,0,0,0.000251,0,Normal,Normal
3576970,udp,192.168.100.148,53917,224.0.0.251,5353,14568,0,12,0,4,0,24,0,0,0,0,Normal,Normal
3576974,udp,192.168.100.150,57854,192.168.217.2,53,14578,0,14,0,4,0,8,0,0.399821,0,0,Normal,Normal
3576979,udp,192.168.100.150,49402,8.8.8.8,53,14639,0,14,0.007175,2,0.007175,10,0,0,0.007175,0,Normal,Normal
3576981,udp,192.168.100.147,40542,192.168.217.2,53,15663,0,12,0,4,0,8,0,0.399999,0,0,Normal,Normal
3576984,udp,192.168.100.5,56784,192.168.100.1,53,22198,0,7,0.052971,2,0.052971,7,0,0,0.052971,0,Normal,Normal
3576989,udp,192.168.100.27,5353,224.0.0.251,5353,23867,0,2,0,4,0,24,0,0,0,0,Normal,Normal
3576991,tcp,192.168.100.5,0,192.168.100.3,0,3,0.026395,7,4.889463,2,4.945239,7,0,10.964783,4.997683,0,Normal,Normal
3576998,tcp,192.168.100.46,80,192.168.100.5,80,2,0.007897,6,4.946117,2,4.96171,7,0,17.942684,4.998015,0,Normal,Normal
3577003,udp,192.168.100.149,35541,27.124.125.250,123,1217,0,12,0.049033,2,0.049033,4,0,0,0.049033,0,Normal,Normal
3577005,ipv6-icmp,fe80::250:56ff:febe:254,133,ff02::2,0,1294,0,1,0,8,0,3,0,0,0,0,Normal,Normal
3577008,udp,192.168.100.6,138,192.168.100.255,138,1997,0,5,0,4,0,5,0,0.001111,0,0,Normal,Normal
3577015,udp,192.168.100.4,5353,224.0.0.251,5353,3687,0,5,0,4,0,2,0,0,0,0,Normal,Normal
3577018,arp,192.168.100.4,-1,192.168.100.7,-1,485,4.10E-05,5,0.00016,2,0.000212,2,0.002751,0.002751,0.000262,0,Normal,Normal
3577021,udp,192.168.100.150,45932,27.124.125.250,123,4286,0,14,0.048539,2,0.048539,4,0,0,0.048539,0,Normal,Normal
3577025,udp,192.168.100.7,138,192.168.100.255,138,1991,1.40E-05,5,6.80E-05,4,8.20E-05,5,0,0.004119,9.50E-05,0,Normal,Normal
3577028,arp,192.168.100.147,-1,192.168.100.1,-1,4538,0,6,0.000118,2,0.000118,12,0,0,0.000118,0,Normal,Normal
3577032,tcp,192.168.100.3,59552,13.55.154.73,8883,18,1.251197,23,0.006134,2,4.312233,1,0.90097,0.900972,4.999997,0,Normal,Normal
3577034,udp,192.168.100.46,80,192.168.100.5,80,1,0.091445,3,3.56061,4,4.956414,3,0,18.047676,4.99944,0,Normal,Normal
3577036,tcp,192.168.100.5,0,192.168.100.3,0,4,0.098533,1,3.455623,2,4.920921,5,0,11.01012,4.997121,0,Normal,Normal
3577043,udp,192.168.100.3,44627,96.7.49.66,53,4020,0,23,0.30755,2,0.30755,1,0,0,0.30755,0,Normal,Normal
3577045,udp,192.168.100.3,39455,192.33.4.12,53,4024,0,23,0.175987,2,0.175987,2,0,0,0.175987,0,Normal,Normal
3577047,udp,192.168.100.3,40757,192.41.162.30,53,4027,0,23,0.167138,2,0.167138,1,0,0,0.167138,0,Normal,Normal
3577051,udp,192.168.100.3,48989,192.36.148.17,53,4033,0,23,0.057087,2,0.057087,2,0,0,0.057087,0,Normal,Normal
3577056,udp,192.168.100.150,59360,192.168.217.2,53,4326,0,14,0,4,0,9,0,0.399998,0,0,Normal,Normal
3577061,udp,192.168.100.149,41708,27.124.125.250,123,5411,0,12,0.04841,2,0.04841,4,0,0,0.04841,0,Normal,Normal
3577063,arp,192.168.100.149,-1,192.168.100.1,-1,5420,2.40E-05,12,3.20E-05,2,7.30E-05,12,0.003524,0.003524,9.10E-05,0,Normal,Normal
3577064,udp,192.168.100.149,57424,8.8.8.8,53,5421,0.060596,12,0.158806,2,0.219402,14,8.067965,362.97641,0.279998,0,Normal,Normal
3577067,tcp,192.168.100.148,53060,52.11.124.117,443,5426,0,10,1.525284,6,1.525284,4,9.834234,10.489849,1.525284,0,Normal,Normal
3577069,tcp,192.168.100.150,60168,52.11.124.117,443,5429,0,14,0.873009,6,0.873009,4,16.036489,17.181953,0.873009,0,Normal,Normal
3577070,udp,192.168.100.149,57987,8.8.8.8,53,5430,0.000225,12,0.144065,2,0.144295,14,2178.64917,1000000,0.144525,0,Normal,Normal
3577075,tcp,192.168.100.150,54730,52.201.147.106,443,5438,0,14,1.44505,6,1.44505,3,7.612193,8.304211,1.44505,0,Normal,Normal
3577078,udp,192.168.100.3,24460,192.112.36.4,53,5441,0,23,0.143069,2,0.143069,2,0,0,0.143069,0,Normal,Normal
3577080,tcp,192.168.100.3,58256,172.217.25.170,443,5443,0.138228,23,0.00603,6,0.103319,2,0.087675,0.12859,0.341582,0,Normal,Normal
3577084,arp,192.168.100.27,-1,192.168.100.1,-1,9555,2.60E-05,4,0.000123,2,0.000158,12,0.0017,0.0017,0.000186,0,Normal,Normal
3577093,udp,192.168.100.149,36033,192.168.217.2,53,11613,0,12,0,4,0,9,0,0.399843,0,0,Normal,Normal
